"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-01 22:53:33.399954","train",0,0.6344905495643616,4.0009669118256925e-05,"","","","","",""
40,"2026-08-01 22:53:34.293604","train",0,0.6054154634475708,4.003867608347821e-05,"","","","","",""
60,"2026-08-01 22:53:35.121873","train",0,0.6022664308547974,4.008701972703149e-05,"","","","","",""
80,"2026-08-01 22:53:36.049344","train",0,0.572810709476471,4.01546981012485e-05,"","","","","",""
100,"2026-08-01 22:53:36.921623","train",0,0.5228907465934753,4.024170847950336e-05,"","","","","",""
120,"2026-08-01 22:53:37.820232","train",0,0.5327110886573792,4.034804735632237e-05,"","","","","",""
140,"2026-08-01 22:53:38.775233","train",0,0.40663111209869385,4.047371044752597e-05,"","","","","",""
160,"2026-08-01 22:53:39.739971","train",0,0.41507700085639954,4.0618692690400234e-05,"","","","","",""
180,"2026-08-01 22:53:40.564343","train",0,0.42521846294403076,4.078298824390159e-05,"","","","","",""
200,"2026-08-01 22:53:41.415414","train",0,0.12580281496047974,4.0966590488892185e-05,"","","","","",""
220,"2026-08-01 22:53:42.419467","train",0,0.27047908306121826,4.116949202840584e-05,"","","","","",""
240,"2026-08-01 22:53:43.245223","train",0,0.23790130019187927,4.139168468794696e-05,"","","","","",""
260,"2026-08-01 22:53:44.119146","train",0,0.28312113881111145,4.163315951581951e-05,"","","","","",""
280,"2026-08-01 22:53:44.997119","train",0,0.07876911759376526,4.1893906783486826e-05,"","","","","",""
300,"2026-08-01 22:53:45.888386","train",0,0.46013176441192627,4.2173915985965304e-05,"","","","","",""
320,"2026-08-01 22:53:46.820184","train",0,0.5393542647361755,4.247317584224616e-05,"","","","","",""
330,"2026-08-01 22:54:03.707374","val",0,"","",0.40406967213114753,0.06676381151255575,0.4603080979807092,0.36020583190394506,0.45586937334510147,0.39737058723034147
340,"2026-08-01 22:54:15.369963","train",1,0.09339874237775803,4.2791674295750344e-05,"","","","","",""
360,"2026-08-01 22:54:16.357074","train",1,0.09512677043676376,4.312939851481461e-05,"","","","","",""
380,"2026-08-01 22:54:17.293391","train",1,0.07820567488670349,4.3486334893207915e-05,"","","","","",""
400,"2026-08-01 22:54:18.220418","train",1,0.5782428979873657,4.386246905068044e-05,"","","","","",""
420,"2026-08-01 22:54:19.097519","train",1,0.4008750915527344,4.425778583354138e-05,"","","","","",""
440,"2026-08-01 22:54:20.051053","train",1,0.24519845843315125,4.467226931527152e-05,"","","","","",""
