"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-02 12:24:41.605906","train",0,0.9961070418357849,4.0009669118256925e-05,"","","","","",""
40,"2026-08-02 12:24:42.380451","train",0,0.9764499664306641,4.003867608347821e-05,"","","","","",""
60,"2026-08-02 12:24:43.301062","train",0,1.0633931159973145,4.008701972703149e-05,"","","","","",""
80,"2026-08-02 12:24:44.179012","train",0,1.1745448112487793,4.01546981012485e-05,"","","","","",""
100,"2026-08-02 12:24:44.971137","train",0,1.0993690490722656,4.024170847950336e-05,"","","","","",""
120,"2026-08-02 12:24:45.829328","train",0,1.089914083480835,4.034804735632237e-05,"","","","","",""
140,"2026-08-02 12:24:46.646169","train",0,1.2115107774734497,4.047371044752597e-05,"","","","","",""
160,"2026-08-02 12:24:47.502606","train",0,1.0019664764404297,4.0618692690400234e-05,"","","","","",""
180,"2026-08-02 12:24:48.272472","train",0,0.867740273475647,4.078298824390159e-05,"","","","","",""
200,"2026-08-02 12:24:49.144790","train",0,0.7071822285652161,4.0966590488892185e-05,"","","","","",""
220,"2026-08-02 12:24:49.900525","train",0,0.7087972164154053,4.116949202840584e-05,"","","","","",""
240,"2026-08-02 12:24:50.637643","train",0,0.6979197263717651,4.139168468794696e-05,"","","","","",""
260,"2026-08-02 12:24:51.497342","train",0,0.42314475774765015,4.163315951581951e-05,"","","","","",""
280,"2026-08-02 12:24:52.403184","train",0,0.4865179657936096,4.1893906783486826e-05,"","","","","",""
300,"2026-08-02 12:24:53.143804","train",0,0.18616196513175964,4.2173915985965304e-05,"","","","","",""
320,"2026-08-02 12:24:53.924557","train",0,0.4840549826622009,4.247317584224616e-05,"","","","","",""
330,"2026-08-02 12:25:10.530260","val",0,"","",0.39279508196721313,0.06821574836839976,0.4321698702380126,0.3516295025728988,0.4777140335392762,0.38816841909081023
340,"2026-08-02 12:25:21.401865","train",1,0.20740023255348206,4.2791674295750344e-05,"","","","","",""
360,"2026-08-02 12:25:22.218246","train",1,0.3785327970981598,4.312939851481461e-05,"","","","","",""
380,"2026-08-02 12:25:23.099198","train",1,0.3359614908695221,4.3486334893207915e-05,"","","","","",""
400,"2026-08-02 12:25:24.009141","train",1,0.643818736076355,4.386246905068044e-05,"","","","","",""
420,"2026-08-02 12:25:24.856238","train",1,0.7495396137237549,4.425778583354138e-05,"","","","","",""
440,"2026-08-02 12:25:25.613919","train",1,0.45166993141174316,4.467226931527152e-05,"","","","","",""
460,"2026-08-02 12:25:26.440942","train",1,0.454074501991272,4.5105902797163235e-05,"","","","","",""
480,"2026-08-02 12:25:27.290952","train",1,0.8419250249862671,4.555866880899377e-05,"","","","","",""
500,"2026-08-02 12:25:28.151402","train",1,0.7588075399398804,4.6030549109729656e-05,"","","","","",""
520,"2026-08-02 12:25:28.991601","train",1,0.6303724050521851,4.65215246882605e-05,"","","","","",""
540,"2026-08-02 12:25:29.883101","train",1,0.6228339076042175,4.703157576416595e-05,"","","","","",""
560,"2026-08-02 12:25:30.759897","train",1,0.5604891180992126,4.756068178851181e-05,"","","","","",""
580,"2026-08-02 12:25:31.534774","train",1,0.545461118221283,4.8108821444678386e-05,"","","","","",""
600,"2026-08-02 12:25:32.329470","train",1,0.6517133712768555,4.867597264921939e-05,"","","","","",""
620,"2026-08-02 12:25:33.136579","train",1,0.6419527530670166,4.9262112552751194e-05,"","","","","",""
640,"2026-08-02 12:25:34.019434","train",1,0.3096631169319153,4.9867217540873325e-05,"","","","","",""
660,"2026-08-02 12:25:34.974821","train",1,0.9710145592689514,5.0491263235120714e-05,"","","","","",""
660,"2026-08-02 12:25:51.517904","val",1,"","",0.38738934426229504,0.07534422018506176,0.389875789327597,0.3756432246998284,0.4616063548102383,0.38269371146349423
680,"2026-08-02 12:26:04.318232","train",2,0.2276594489812851,5.1134224493944907e-05,"","","","","",""
700,"2026-08-02 12:26:05.106131","train",2,0.3821648955345154,5.179607541372735e-05,"","","","","",""
720,"2026-08-02 12:26:05.905613","train",2,0.3440718650817871,5.247678932982294e-05,"","","","","",""
740,"2026-08-02 12:26:06.678119","train",2,0.17524412274360657,5.317633881763437e-05,"","","","","",""
760,"2026-08-02 12:26:07.490028","train",2,0.50411057472229,5.389469569371701e-05,"","","","","",""
780,"2026-08-02 12:26:08.270934","train",2,0.15602627396583557,5.4631831016914325e-05,"","","","","",""
800,"2026-08-02 12:26:09.041326","train",2,0.5701873302459717,5.538771508952368e-05,"","","","","",""
820,"2026-08-02 12:26:09.814180","train",2,0.285918653011322,5.616231745849299e-05,"","","","","",""
840,"2026-08-02 12:26:10.590755","train",2,0.3803078234195709,5.6955606916647824e-05,"","","","","",""
860,"2026-08-02 12:26:11.453261","train",2,0.7377741932868958,5.7767551503947996e-05,"","","","","",""
880,"2026-08-02 12:26:12.304336","train",2,0.416500061750412,5.859811850877602e-05,"","","","","",""
900,"2026-08-02 12:26:13.070066","train",2,0.3486775755882263,5.944727446925452e-05,"","","","","",""
920,"2026-08-02 12:26:13.937664","train",2,0.49553942680358887,6.0314985174594144e-05,"","","","","",""
940,"2026-08-02 12:26:14.797741","train",2,0.6948343515396118,6.12012156664724e-05,"","","","","",""
960,"2026-08-02 12:26:15.686632","train",2,0.4715583920478821,6.210593024044177e-05,"","","","","",""
980,"2026-08-02 12:26:16.664191","train",2,0.7806448936462402,6.302909244736783e-05,"","","","","",""
990,"2026-08-02 12:26:32.607103","val",2,"","",0.444,0.08860849383899923,0.37388106307681634,0.4751286449399657,0.5875992939099736,0.4170018792613416
1000,"2026-08-02 12:26:43.515706","train",3,0.8344329595565796,6.397066509489843e-05,"","","","","",""
1020,"2026-08-02 12:26:44.346947","train",3,0.6442053318023682,6.493061024896165e-05,"","","","","",""
1040,"2026-08-02 12:26:45.177812","train",3,0.4098331332206726,6.590888923529385e-05,"","","","","",""
1060,"2026-08-02 12:26:46.098337","train",3,0.5901040434837341,6.690546264099867e-05,"","","","","",""
1080,"2026-08-02 12:26:46.926984","train",3,0.5897271037101746,6.792029031613383e-05,"","","","","",""
1100,"2026-08-02 12:26:47.651454","train",3,0.36201971769332886,6.895333137532905e-05,"","","","","",""
1120,"2026-08-02 12:26:48.363894","train",3,0.857833206653595,7.000454419943424e-05,"","","","","",""
