"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-03 20:17:53.017628","train",0,0.6331828236579895,4.000961077716325e-05,"","","","","",""
40,"2026-08-03 20:17:54.104285","train",0,1.1679431200027466,4.00384427237903e-05,"","","","","",""
60,"2026-08-03 20:17:55.212188","train",0,1.171273946762085,4.008649468530861e-05,"","","","","",""
80,"2026-08-03 20:17:56.288911","train",0,1.1723213195800781,4.01537647374818e-05,"","","","","",""
100,"2026-08-03 20:17:57.382132","train",0,1.171661615371704,4.024025018648739e-05,"","","","","",""
120,"2026-08-03 20:17:58.565294","train",0,1.1741873025894165,4.034594756902347e-05,"","","","","",""
140,"2026-08-03 20:17:59.761410","train",0,2.22206449508667,4.047085265244867e-05,"","","","","",""
160,"2026-08-03 20:18:00.971963","train",0,1.6910467147827148,4.061496043495044e-05,"","","","","",""
180,"2026-08-03 20:18:01.862094","train",0,1.6967437267303467,4.077826514574693e-05,"","","","","",""
200,"2026-08-03 20:18:02.897562","train",0,2.2348482608795166,4.096076024531585e-05,"","","","","",""
220,"2026-08-03 20:18:03.819877","train",0,2.237295627593994,4.11624384256587e-05,"","","","","",""
240,"2026-08-03 20:18:04.982967","train",0,1.1662765741348267,4.138329161059199e-05,"","","","","",""
260,"2026-08-03 20:18:05.865237","train",0,0.636942982673645,4.162331095607075e-05,"","","","","",""
280,"2026-08-03 20:18:06.816024","train",0,1.169252872467041,4.188248685054331e-05,"","","","","",""
300,"2026-08-03 20:18:07.922518","train",0,1.6921627521514893,4.2160808915335285e-05,"","","","","",""
320,"2026-08-03 20:18:08.915548","train",0,1.6702841520309448,4.245826600506649e-05,"","","","","",""
331,"2026-08-03 20:18:28.380299","val",0,"","",0.5502909608172766,0.10788969379667396,0.5330693069306931,0.6813417190775681,0.47688395746648177,0.5534943227250919
340,"2026-08-03 20:18:42.201754","train",1,1.1595308780670166,4.277484620809587e-05,"","","","","",""
360,"2026-08-03 20:18:43.279785","train",1,1.1688170433044434,4.311053684699932e-05,"","","","","",""
380,"2026-08-03 20:18:44.370472","train",1,0.6802627444267273,4.3465324479077306e-05,"","","","","",""
400,"2026-08-03 20:18:45.493597","train",1,1.1703448295593262,4.383919489689262e-05,"","","","","",""
420,"2026-08-03 20:18:46.602922","train",1,1.171041488647461,4.423213312884015e-05,"","","","","",""
440,"2026-08-03 20:18:47.749049","train",1,0.6884838342666626,4.4644123439745663e-05,"","","","","",""
460,"2026-08-03 20:18:48.896046","train",1,0.6886166334152222,4.5075149331496385e-05,"","","","","",""
480,"2026-08-03 20:18:49.936020","train",1,2.5938007831573486,4.55251935437015e-05,"","","","","",""
500,"2026-08-03 20:18:51.150058","train",1,1.625309944152832,4.599423805438333e-05,"","","","","",""
520,"2026-08-03 20:18:52.126836","train",1,0.6863428950309753,4.648226408069918e-05,"","","","","",""
540,"2026-08-03 20:18:53.195078","train",1,1.1630281209945679,4.698925207969316e-05,"","","","","",""
560,"2026-08-03 20:18:54.123182","train",1,2.1458303928375244,4.7515181749079255e-05,"","","","","",""
580,"2026-08-03 20:18:55.229358","train",1,0.6876730918884277,4.8060032028053655e-05,"","","","","",""
600,"2026-08-03 20:18:56.131232","train",1,1.1632035970687866,4.8623781098138886e-05,"","","","","",""
620,"2026-08-03 20:18:57.168033","train",1,0.67698073387146,4.9206406384057146e-05,"","","","","",""
640,"2026-08-03 20:18:58.064002","train",1,3.1170334815979004,4.98078845546342e-05,"","","","","",""
660,"2026-08-03 20:18:59.056259","train",1,1.669965147972107,5.042819152373398e-05,"","","","","",""
662,"2026-08-03 20:19:19.020627","val",1,"","",0.5700418121470753,0.1267307129142303,0.5190495049504951,0.5849056603773585,0.5030050855293574,0.5824884055653287
680,"2026-08-03 20:19:33.133516","train",2,1.1535303592681885,5.106730245122294e-05,"","","","","",""
700,"2026-08-03 20:19:34.143018","train",2,1.1507554054260254,5.172519174396475e-05,"","","","","",""
720,"2026-08-03 20:19:35.239670","train",2,1.6693888902664185,5.240183305684528e-05,"","","","","",""
740,"2026-08-03 20:19:36.330158","train",2,1.1859896183013916,5.3097199293827856e-05,"","","","","",""
760,"2026-08-03 20:19:37.473750","train",2,1.6528046131134033,5.3811262609037235e-05,"","","","","",""
780,"2026-08-03 20:19:38.605020","train",2,0.6824796199798584,5.4543994407876134e-05,"","","","","",""
800,"2026-08-03 20:19:39.766449","train",2,1.1572740077972412,5.529536534816916e-05,"","","","","",""
820,"2026-08-03 20:19:40.908526","train",2,2.148569345474243,5.6065345341338967e-05,"","","","","",""
840,"2026-08-03 20:19:41.889356","train",2,1.1476223468780518,5.685390355360969e-05,"","","","","",""
860,"2026-08-03 20:19:42.780552","train",2,1.1587936878204346,5.766100840724254e-05,"","","","","",""
880,"2026-08-03 20:19:43.731897","train",2,1.1978416442871094,5.8486627581800935e-05,"","","","","",""
900,"2026-08-03 20:19:44.591093","train",2,0.6811002492904663,5.9330728015443194e-05,"","","","","",""
920,"2026-08-03 20:19:45.468881","train",2,1.653578758239746,6.019327590624799e-05,"","","","","",""
940,"2026-08-03 20:19:46.517234","train",2,0.6656434535980225,6.107423671356709e-05,"","","","","",""
960,"2026-08-03 20:19:47.528848","train",2,2.5907936096191406,6.19735751594087e-05,"","","","","",""
980,"2026-08-03 20:19:48.383312","train",2,0.6837295293807983,6.289125522985031e-05,"","","","","",""
993,"2026-08-03 20:20:06.929378","val",2,"","",0.598249924565714,0.12481626755611781,0.523009900990099,0.5681341719077567,0.5896902450300509,0.6010554933631858
1000,"2026-08-03 20:20:20.202423","train",3,1.6500282287597656,6.382724017648094e-05,"","","","","",""
1020,"2026-08-03 20:20:21.282492","train",3,1.1855518817901611,6.478149251787249e-05,"","","","","",""
