"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-02 10:51:02.258139","train",0,0.6873763799667358,4.0009669118256925e-05,"","","","","",""
40,"2026-08-02 10:51:03.231704","train",0,0.665839672088623,4.003867608347821e-05,"","","","","",""
60,"2026-08-02 10:51:04.169228","train",0,0.637813925743103,4.008701972703149e-05,"","","","","",""
80,"2026-08-02 10:51:04.981063","train",0,0.5926351547241211,4.01546981012485e-05,"","","","","",""
100,"2026-08-02 10:51:05.977686","train",0,0.592799186706543,4.024170847950336e-05,"","","","","",""
120,"2026-08-02 10:51:06.813432","train",0,0.5358722805976868,4.034804735632237e-05,"","","","","",""
140,"2026-08-02 10:51:07.620114","train",0,0.4408644437789917,4.047371044752597e-05,"","","","","",""
160,"2026-08-02 10:51:08.584161","train",0,0.31208592653274536,4.0618692690400234e-05,"","","","","",""
180,"2026-08-02 10:51:09.532275","train",0,0.2270972728729248,4.078298824390159e-05,"","","","","",""
200,"2026-08-02 10:51:10.343321","train",0,0.27671241760253906,4.0966590488892185e-05,"","","","","",""
220,"2026-08-02 10:51:11.156610","train",0,0.26390933990478516,4.116949202840584e-05,"","","","","",""
240,"2026-08-02 10:51:12.016725","train",0,0.3826395571231842,4.139168468794696e-05,"","","","","",""
260,"2026-08-02 10:51:12.920925","train",0,0.09456546604633331,4.163315951581951e-05,"","","","","",""
280,"2026-08-02 10:51:13.728048","train",0,0.2318647801876068,4.1893906783486826e-05,"","","","","",""
300,"2026-08-02 10:51:14.686897","train",0,0.07514776289463043,4.2173915985965304e-05,"","","","","",""
320,"2026-08-02 10:51:15.698170","train",0,0.413405179977417,4.247317584224616e-05,"","","","","",""
330,"2026-08-02 10:51:32.104401","val",0,"","",0.37857786885245903,0.07516222100261366,0.44309902158073694,0.3550600343053173,0.5233892321270962,0.36087253638156774
340,"2026-08-02 10:51:43.112555","train",1,0.23554489016532898,4.2791674295750344e-05,"","","","","",""
360,"2026-08-02 10:51:43.866010","train",1,0.22358644008636475,4.312939851481461e-05,"","","","","",""
380,"2026-08-02 10:51:44.715829","train",1,0.41748374700546265,4.3486334893207915e-05,"","","","","",""
400,"2026-08-02 10:51:45.498771","train",1,0.07982520759105682,4.386246905068044e-05,"","","","","",""
420,"2026-08-02 10:51:46.322460","train",1,0.07658249139785767,4.425778583354138e-05,"","","","","",""
440,"2026-08-02 10:51:47.226071","train",1,0.07839299738407135,4.467226931527152e-05,"","","","","",""
460,"2026-08-02 10:51:48.153017","train",1,0.5298201441764832,4.5105902797163235e-05,"","","","","",""
480,"2026-08-02 10:51:48.940002","train",1,0.41955628991127014,4.555866880899377e-05,"","","","","",""
