"step","time","part","epoch","loss","lr","auroc","auprc","auroc_age_cond","auroc_I0002","auroc_I0006","auroc_S0001"
20,"2026-08-02 19:17:21.022941","train",0,3.591599941253662,4.0009669118256925e-05,"","","","","",""
40,"2026-08-02 19:17:21.955229","train",0,1.1742349863052368,4.003867608347821e-05,"","","","","",""
60,"2026-08-02 19:17:22.780051","train",0,1.1736419200897217,4.008701972703149e-05,"","","","","",""
80,"2026-08-02 19:17:23.701921","train",0,0.6735594272613525,4.01546981012485e-05,"","","","","",""
100,"2026-08-02 19:17:24.580128","train",0,0.6712808012962341,4.024170847950336e-05,"","","","","",""
120,"2026-08-02 19:17:25.497457","train",0,2.676732301712036,4.034804735632237e-05,"","","","","",""
140,"2026-08-02 19:17:26.396367","train",0,1.1748114824295044,4.047371044752597e-05,"","","","","",""
160,"2026-08-02 19:17:27.286516","train",0,2.170696258544922,4.0618692690400234e-05,"","","","","",""
180,"2026-08-02 19:17:28.209915","train",0,1.1760610342025757,4.078298824390159e-05,"","","","","",""
200,"2026-08-02 19:17:29.114117","train",0,0.6774871349334717,4.0966590488892185e-05,"","","","","",""
220,"2026-08-02 19:17:30.000041","train",0,1.671154499053955,4.116949202840584e-05,"","","","","",""
240,"2026-08-02 19:17:31.140225","train",0,1.6620687246322632,4.139168468794696e-05,"","","","","",""
260,"2026-08-02 19:17:32.141893","train",0,1.176934003829956,4.163315951581951e-05,"","","","","",""
280,"2026-08-02 19:17:33.198843","train",0,1.1745030879974365,4.1893906783486826e-05,"","","","","",""
300,"2026-08-02 19:17:34.050159","train",0,2.6108193397521973,4.2173915985965304e-05,"","","","","",""
320,"2026-08-02 19:17:34.910514","train",0,1.1735880374908447,4.247317584224616e-05,"","","","","",""
330,"2026-08-02 19:17:52.096077","val",0,"","",0.6806926229508197,0.17147469136653304,0.5828533758934148,0.653516295025729,0.6950573698146514,0.6772718095267678
340,"2026-08-02 19:18:03.708393","train",1,0.7010402083396912,4.2791674295750344e-05,"","","","","",""
360,"2026-08-02 19:18:04.628148","train",1,1.6549386978149414,4.312939851481461e-05,"","","","","",""
380,"2026-08-02 19:18:05.536305","train",1,1.1662743091583252,4.3486334893207915e-05,"","","","","",""
400,"2026-08-02 19:18:06.535171","train",1,1.1766514778137207,4.386246905068044e-05,"","","","","",""
420,"2026-08-02 19:18:07.465695","train",1,1.641357660293579,4.425778583354138e-05,"","","","","",""
440,"2026-08-02 19:18:08.336866","train",1,1.1806726455688477,4.467226931527152e-05,"","","","","",""
